rank,ip,prefix,ok,status,connect_ms,tls_ms,ttfb_ms,total_ms,score_ms,samples_prefix,ok_prefix,fail_prefix,download_ok,download_mbps,download_ms,download_bytes,download_error,colo
1,172.64.229.125,172.64.229.0/24,true,200,0,0,29,29,29.00,35,33,2,false,1.74,20001,4348704,timeout,NRT
2,172.64.229.194,172.64.229.0/24,true,200,0,0,31,31,31.00,604,516,88,false,13.86,20001,34648862,timeout,NRT
3,172.64.229.216,172.64.229.0/24,true,200,0,0,31,32,32.00,266,233,33,true,57.19,6994,50000000,,NRT
4,172.64.229.31,172.64.229.0/24,true,200,0,0,32,32,32.00,916,786,130,true,240.86,1660,50000000,,NRT
5,172.64.229.110,172.64.229.0/24,true,200,0,0,32,32,32.00,473,407,66,true,207.04,1932,50000000,,NRT
6,172.64.229.187,172.64.229.0/24,true,200,0,0,32,32,32.00,86,75,11,false,0.00,15274,0,"Get ""https://172.64.229.187/speedtest/?bytes=209715200"": unexpected EOF",NRT
7,172.64.229.232,172.64.229.0/24,true,200,0,0,32,33,33.00,251,221,30,false,0.00,10121,0,"Get ""https://172.64.229.232/speedtest/?bytes=209715200"": net/http: TLS handshake timeout",NRT
8,172.64.229.213,172.64.229.0/24,true,200,0,0,33,33,33.00,538,462,76,false,9.22,20000,23039722,timeout,NRT
9,172.64.229.250,172.64.229.0/24,true,200,0,0,33,33,33.00,267,234,33,true,379.76,1053,50000000,,NRT
10,172.64.229.96,172.64.229.0/24,true,200,0,0,34,34,34.00,180,156,24,true,79.59,5025,50000000,,NRT
11,172.64.229.185,172.64.229.0/24,true,200,0,0,35,35,35.00,870,747,123,true,76.76,5211,50000000,,NRT
12,172.64.229.221,172.64.229.0/24,true,200,0,0,35,35,35.00,225,197,28,true,71.75,5574,50000000,,NRT
13,172.64.229.157,172.64.229.0/24,true,200,0,0,35,35,35.00,878,753,125,true,82.62,4841,50000000,,NRT
14,172.64.229.152,172.64.229.0/24,true,200,0,0,35,35,35.00,500,430,70,true,65.24,6131,50000000,,NRT
15,172.64.229.140,172.64.229.0/24,true,200,0,0,35,35,35.00,167,143,24,true,321.92,1242,50000000,,NRT
16,172.64.229.208,172.64.229.0/24,true,200,0,0,36,36,36.00,717,612,105,true,338.57,1181,50000000,,NRT
17,172.64.229.94,172.64.229.0/24,true,200,0,0,36,36,36.00,962,829,133,true,64.82,6171,50000000,,NRT
18,172.64.229.220,172.64.229.0/24,true,200,0,0,37,37,37.00,143,122,21,true,69.98,5716,50000000,,NRT
19,172.64.229.38,172.64.229.0/24,true,200,0,0,37,37,37.00,54,49,5,true,153.78,2601,50000000,,NRT
20,172.64.229.19,172.64.229.0/24,true,200,0,0,37,37,37.00,934,802,132,true,75.87,5272,50000000,,NRT
21,172.64.229.7,172.64.229.0/24,true,200,0,0,37,37,37.00,850,729,121,true,302.06,1324,50000000,,NRT
22,172.64.229.28,172.64.229.0/24,true,200,0,0,37,37,37.00,468,402,66,true,378.14,1057,50000000,,NRT
23,172.64.229.50,172.64.229.0/24,true,200,0,0,37,37,37.00,179,155,24,true,386.88,1033,50000000,,NRT
24,172.64.229.192,172.64.229.0/24,true,200,0,0,37,37,37.00,275,241,34,true,337.07,1186,50000000,,NRT
25,172.64.229.72,172.64.229.0/24,true,200,0,0,37,37,37.00,323,279,44,true,262.45,1524,50000000,,NRT
26,172.64.229.158,172.64.229.0/24,true,200,0,0,37,37,37.00,865,743,122,false,0.00,0,0,,NRT
27,172.64.229.124,172.64.229.0/24,true,200,0,0,37,37,37.00,701,597,104,false,0.00,0,0,,NRT
28,172.64.229.174,172.64.229.0/24,true,200,0,0,37,37,37.00,972,839,133,false,0.00,0,0,,NRT
29,172.64.229.24,172.64.229.0/24,true,200,0,0,38,38,38.00,834,714,120,false,0.00,0,0,,NRT
30,172.64.229.168,172.64.229.0/24,true,200,0,0,38,38,38.00,562,482,80,false,0.00,0,0,,NRT
31,172.64.229.120,172.64.229.0/24,true,200,0,0,38,38,38.00,312,269,43,false,0.00,0,0,,NRT
32,172.64.229.177,172.64.229.0/24,true,200,0,0,38,38,38.00,314,270,44,false,0.00,0,0,,NRT
33,172.64.229.119,172.64.229.0/24,true,200,0,0,38,38,38.00,652,555,97,false,0.00,0,0,,NRT
34,172.64.229.197,172.64.229.0/24,true,200,0,0,38,38,38.00,503,433,70,false,0.00,0,0,,NRT
35,172.64.229.82,172.64.229.0/24,true,200,0,0,38,38,38.00,95,84,11,false,0.00,0,0,,NRT
36,172.64.229.225,172.64.229.0/24,true,200,0,0,38,38,38.00,458,394,64,false,0.00,0,0,,NRT
37,172.64.229.40,172.64.229.0/24,true,200,0,0,38,38,38.00,537,461,76,false,0.00,0,0,,NRT
38,172.64.229.64,172.64.229.0/24,true,200,0,0,38,38,38.00,44,42,2,false,0.00,0,0,,NRT
39,172.64.229.3,172.64.229.0/24,true,200,0,0,37,38,38.00,185,161,24,false,0.00,0,0,,NRT
40,172.64.229.44,172.64.229.0/24,true,200,0,0,38,38,38.00,825,705,120,false,0.00,0,0,,NRT
41,172.64.229.180,172.64.229.0/24,true,200,0,0,38,38,38.00,418,356,62,false,0.00,0,0,,NRT
42,172.64.229.166,172.64.229.0/24,true,200,0,0,38,38,38.00,827,707,120,false,0.00,0,0,,NRT
