progress: 5/3000 done, best=0.0ms ip=invalid IP prefix=invalid Prefix elapsed=1.2s nodes=25
progress: 11/3000 done, best=99.0ms ip=172.64.229.116 prefix=172.64.229.0/24 elapsed=3s nodes=25
progress: 101/3000 done, best=47.0ms ip=172.64.229.80 prefix=172.64.229.0/24 elapsed=4.1s nodes=53
progress: 114/3000 done, best=47.0ms ip=172.64.229.80 prefix=172.64.229.0/24 elapsed=5.2s nodes=53
progress: 176/3000 done, best=47.0ms ip=172.64.229.80 prefix=172.64.229.0/24 elapsed=6.2s nodes=89
progress: 210/3000 done, best=37.0ms ip=172.64.229.203 prefix=172.64.229.0/24 elapsed=7.2s nodes=113
progress: 230/3000 done, best=37.0ms ip=172.64.229.203 prefix=172.64.229.0/24 elapsed=8.4s nodes=113
progress: 289/3000 done, best=37.0ms ip=172.64.229.16 prefix=172.64.229.0/24 elapsed=9.4s nodes=121
progress: 325/3000 done, best=33.0ms ip=172.64.229.164 prefix=172.64.229.0/24 elapsed=10.5s nodes=121
progress: 349/3000 done, best=33.0ms ip=172.64.229.164 prefix=172.64.229.0/24 elapsed=11.5s nodes=125
progress: 406/3000 done, best=33.0ms ip=172.64.229.164 prefix=172.64.229.0/24 elapsed=12.5s nodes=129
progress: 435/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=13.5s nodes=133
progress: 462/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=14.5s nodes=141
progress: 513/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=15.5s nodes=141
progress: 544/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=16.6s nodes=145
progress: 580/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=17.7s nodes=149
progress: 633/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=18.7s nodes=157
progress: 662/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=19.7s nodes=177
progress: 701/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=20.7s nodes=185
progress: 757/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=21.8s nodes=185
progress: 784/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=22.8s nodes=193
progress: 825/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=23.9s nodes=201
progress: 873/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=24.9s nodes=205
progress: 907/3000 done, best=33.0ms ip=172.64.229.220 prefix=172.64.229.0/24 elapsed=25.9s nodes=217
progress: 950/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=26.9s nodes=217
progress: 994/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=27.9s nodes=221
progress: 1040/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=29s nodes=225
progress: 1082/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=30s nodes=229
progress: 1128/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=31s nodes=233
progress: 1167/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=32s nodes=241
progress: 1221/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=33s nodes=253
progress: 1257/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=34.1s nodes=253
progress: 1299/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=35.1s nodes=261
progress: 1344/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=36.1s nodes=265
progress: 1384/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=37.1s nodes=277
progress: 1417/3000 done, best=32.0ms ip=172.64.229.7 prefix=172.64.229.0/24 elapsed=38.1s nodes=277
progress: 1460/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=39.1s nodes=281
progress: 1499/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=40.2s nodes=285
progress: 1534/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=41.2s nodes=293
progress: 1584/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=42.3s nodes=301
progress: 1615/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=43.3s nodes=305
progress: 1650/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=44.3s nodes=305
progress: 1698/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=45.3s nodes=317
progress: 1740/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=46.3s nodes=329
progress: 1768/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=47.4s nodes=337
progress: 1818/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=48.4s nodes=337
progress: 1861/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=49.4s nodes=341
progress: 1894/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=50.5s nodes=345
progress: 1938/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=51.5s nodes=349
progress: 1982/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=52.5s nodes=353
progress: 2020/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=53.6s nodes=353
progress: 2058/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=54.6s nodes=353
progress: 2094/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=55.7s nodes=357
progress: 2126/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=56.7s nodes=361
progress: 2167/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=57.7s nodes=365
progress: 2201/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=58.8s nodes=365
progress: 2246/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=59.8s nodes=373
progress: 2295/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m0.8s nodes=381
progress: 2330/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m1.9s nodes=381
progress: 2373/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m2.9s nodes=397
progress: 2415/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m3.9s nodes=401
progress: 2448/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m5s nodes=409
progress: 2490/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m6s nodes=421
progress: 2536/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m7s nodes=425
progress: 2587/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m8.1s nodes=429
progress: 2630/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m9.1s nodes=433
progress: 2662/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m10.1s nodes=441
progress: 2710/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m11.1s nodes=453
progress: 2752/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m12.2s nodes=465
progress: 2792/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m13.2s nodes=469
progress: 2840/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m14.3s nodes=469
progress: 2876/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m15.3s nodes=469
progress: 2915/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m16.3s nodes=469
progress: 2953/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m17.3s nodes=473
progress: 2975/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m18.4s nodes=473
progress: 2989/3000 done, best=29.0ms ip=172.64.229.251 prefix=172.64.229.0/24 elapsed=1m19.5s nodes=473
